unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude
3482eedc3a1a4c182c5268b852ab9df3def5af50,8f3fb80f8725d57289bfcf9512cbfc79d18a2d3fd925d7d8e14e9f21eb6dc2d0e3e5d5048fa088a0df9244f362ffa4a24575537fd39dc40ab4f4a9434861da94,2014-08-22 18:15:00.000000 UTC,2014-08-22 18:15:00.000000 UTC,0,0.0,44.85,8.97,0.0,0.0,53.82,Credit Card,Chicago Elite Cab Corp.,,
18438598f7ae2fa4e89a469d53d869518de727b1,38aa3432a4d83f7e9765908ff1bdf10ada6b21ffc6ba0e005c4cf078e74cfe651e5849b945f632e2c7f3338b938a3a902130f9da715714423bf3072cefd89be2,2014-08-22 18:15:00.000000 UTC,2014-08-22 18:15:00.000000 UTC,0,0.0,3.25,0.0,0.0,0.0,3.25,Cash,Dispatch Taxi Affiliation,,
32075bec5ea15e626445b0a5168e24bfb8818a01,7added4d3f37f22fbd28e2f95972c03d79890098880768299542593d0ff21cae3e14d411134fc657ed223684fb5b1ffa249066ab410a56ef6845255f29a213ea,2014-10-06 11:00:00.000000 UTC,2014-10-06 11:00:00.000000 UTC,0,0.0,9.05,1.81,0.0,0.0,10.86,No Charge,Chicago Elite Cab Corp.,,
ed7f4c84587e5fadc8cb36651edb93bb5fe9d3ab,aa287013d85e566cb7816b93440bd053415e0d40ef9e4aed85fb4fa2975f30368a75e1064731372bc3eaff00f1c0e170a3f0789e17c0b23f5d6247d9eb733982,2014-08-22 19:00:00.000000 UTC,2014-08-22 19:00:00.000000 UTC,0,0.0,60.0,0.0,0.0,0.0,60.0,No Charge,T.A.S. - Payment Only,,
a8957f3213a24b1fe85dd4a9caa0773862598161,e93472aad9e00c0a523e1a861ae897303548d713ba63d3b8019a99d519a78fa799cd5a3c5366479d1796d94cbe6552b706e4e60fac373942ee2d349b5d9a44b3,2014-10-01 10:00:00.000000 UTC,2014-10-01 10:00:00.000000 UTC,0,0.0,6.05,1.21,0.0,0.0,7.26,Credit Card,Chicago Elite Cab Corp.,,
5ed02254114ff275a25636b611d5b1bd8b14932b,e25ca00ab009dcfe45923c2dfc79d935f335b80497a54fbbca62487610e100654564cc5a4f112c6c17da2b1deb3a400e5f6c723eaec56d9db1c1e8cfbf24b609,2014-09-29 10:00:00.000000 UTC,2014-09-29 10:00:00.000000 UTC,0,0.0,8.05,1.61,0.0,0.0,9.66,Credit Card,Chicago Elite Cab Corp.,,
32e7c2350bd1c8e4a59c9ed8dc50d673c276dd2c,f20e36b9f1ff6294c5aa9900f857a0200d8e4313a6f87505dad6f5c67ef80896c85041362604953da4a5891020d144d0eae70450ff8784df027fb4c7380b0605,2014-10-06 07:15:00.000000 UTC,2014-10-06 07:15:00.000000 UTC,0,0.0,5.85,2.0,0.0,0.0,7.85,No Charge,T.A.S. - Payment Only,,
023174c2a912d1bafd1dfbcb0b51aa4429ad5958,c54481366d44d8c3011e54e798279f735ed2b51d200a76f81e6fd2f763f5e69d27da4d63c03a7186e16a5ecfda77c50ffc566372fa1a65d78ee5b3b37137e934,2014-10-03 11:45:00.000000 UTC,2014-10-03 11:45:00.000000 UTC,0,0.0,23.25,4.65,0.0,0.0,27.9,Credit Card,Chicago Elite Cab Corp.,,
d6d78a8cb7bc3edaf948d3d36a64b4f7157eae11,83e107c34986e0dc90555d0497d5fd3a82d765cc654c1afb1dcf5875120d4b588cfffcc9086aa7963093c306e3c73d32f4f0b1d0283edea44fd97faab7ed2029,2014-10-03 13:30:00.000000 UTC,2014-10-03 13:30:00.000000 UTC,0,0.0,20.85,6.26,0.0,0.0,27.11,Credit Card,Chicago Elite Cab Corp.,,
fd8696cd57ad64cca82902c52fc2f9cdf092a0fb,0c2af70fa4647cb1d6f0e8fcb08ad4359c5977513d2d69713150d6be02d6c941647971d47e5d91b9bb21f9999d2f8a113d5eee71cb169c0db26fbd192cc0e962,2014-08-22 18:15:00.000000 UTC,2014-08-22 18:15:00.000000 UTC,0,0.0,10.25,2.56,0.0,0.0,12.81,Credit Card,Chicago Elite Cab Corp.,,
